id,mrs_true,set_id,lexical_distance,boundary_case,ambiguous,vignette_text,eligibility_criterion,expected_answer,distractor_type,notes,source_id,criterion_op,criterion_value,tier
mrs00_direct_LE0,0,,direct_label,True,,"The patient's modified Rankin Scale score is 0, with no symptoms at all.",mRS <= 0 required for enrollment,eligible,none,sweep of mrs00_direct (true mRS 0) at <= 0,mrs00_direct,<=,0,exploratory
mrs00_direct_LE1,0,,direct_label,False,,"The patient's modified Rankin Scale score is 0, with no symptoms at all.",mRS <= 1 required for enrollment,eligible,none,sweep of mrs00_direct (true mRS 0) at <= 1,mrs00_direct,<=,1,primary
mrs00_direct_LE2,0,,direct_label,False,,"The patient's modified Rankin Scale score is 0, with no symptoms at all.",mRS <= 2 required for enrollment,eligible,none,sweep of mrs00_direct (true mRS 0) at <= 2,mrs00_direct,<=,2,primary
mrs00_direct_LE4,0,,direct_label,False,,"The patient's modified Rankin Scale score is 0, with no symptoms at all.",mRS <= 4 required for enrollment,eligible,none,sweep of mrs00_direct (true mRS 0) at <= 4,mrs00_direct,<=,4,exploratory
mrs00_direct_LE6,0,,direct_label,False,,"The patient's modified Rankin Scale score is 0, with no symptoms at all.",mRS <= 6 required for enrollment,eligible,none,sweep of mrs00_direct (true mRS 0) at <= 6,mrs00_direct,<=,6,ceiling
mrs00_direct_GE3,0,,direct_label,False,,"The patient's modified Rankin Scale score is 0, with no symptoms at all.",mRS >= 3 required for enrollment (supportive care cohort),excluded,reversed_threshold,sweep of mrs00_direct (true mRS 0) at >= 3,mrs00_direct,>=,3,direction
mrs00_paraphrase_LE0,0,,paraphrase,True,,The patient reports no residual symptoms whatsoever since the stroke and has resumed all prior activities without limitation.,mRS <= 0 required for enrollment,eligible,none,sweep of mrs00_paraphrase (true mRS 0) at <= 0,mrs00_paraphrase,<=,0,exploratory
mrs00_paraphrase_LE1,0,,paraphrase,False,,The patient reports no residual symptoms whatsoever since the stroke and has resumed all prior activities without limitation.,mRS <= 1 required for enrollment,eligible,none,sweep of mrs00_paraphrase (true mRS 0) at <= 1,mrs00_paraphrase,<=,1,primary
mrs00_paraphrase_LE2,0,,paraphrase,False,,The patient reports no residual symptoms whatsoever since the stroke and has resumed all prior activities without limitation.,mRS <= 2 required for enrollment,eligible,none,sweep of mrs00_paraphrase (true mRS 0) at <= 2,mrs00_paraphrase,<=,2,primary
mrs00_paraphrase_LE4,0,,paraphrase,False,,The patient reports no residual symptoms whatsoever since the stroke and has resumed all prior activities without limitation.,mRS <= 4 required for enrollment,eligible,none,sweep of mrs00_paraphrase (true mRS 0) at <= 4,mrs00_paraphrase,<=,4,exploratory
mrs00_paraphrase_LE6,0,,paraphrase,False,,The patient reports no residual symptoms whatsoever since the stroke and has resumed all prior activities without limitation.,mRS <= 6 required for enrollment,eligible,none,sweep of mrs00_paraphrase (true mRS 0) at <= 6,mrs00_paraphrase,<=,6,ceiling
mrs00_paraphrase_GE3,0,,paraphrase,False,,The patient reports no residual symptoms whatsoever since the stroke and has resumed all prior activities without limitation.,mRS >= 3 required for enrollment (supportive care cohort),excluded,reversed_threshold,sweep of mrs00_paraphrase (true mRS 0) at >= 3,mrs00_paraphrase,>=,3,direction
mrs01_direct_LE0,1,,direct_label,False,,The patient's modified Rankin Scale score is 1: no significant disability despite some symptoms.,mRS <= 0 required for enrollment,excluded,none,sweep of mrs01_direct (true mRS 1) at <= 0,mrs01_direct,<=,0,exploratory
mrs01_direct_LE1,1,,direct_label,True,,The patient's modified Rankin Scale score is 1: no significant disability despite some symptoms.,mRS <= 1 required for enrollment,eligible,none,sweep of mrs01_direct (true mRS 1) at <= 1,mrs01_direct,<=,1,primary
mrs01_direct_LE2,1,,direct_label,False,,The patient's modified Rankin Scale score is 1: no significant disability despite some symptoms.,mRS <= 2 required for enrollment,eligible,none,sweep of mrs01_direct (true mRS 1) at <= 2,mrs01_direct,<=,2,primary
mrs01_direct_LE4,1,,direct_label,False,,The patient's modified Rankin Scale score is 1: no significant disability despite some symptoms.,mRS <= 4 required for enrollment,eligible,none,sweep of mrs01_direct (true mRS 1) at <= 4,mrs01_direct,<=,4,exploratory
