id,recist_true,lexical_distance,boundary_case,vignette_text,eligibility_criterion,expected_answer,distractor_type,notes
recist_cr_direct,CR,direct_label,False,"Follow-up imaging shows complete disappearance of all target lesions, and RECIST response is recorded as CR.",no progressive disease required for continuation,eligible,none,anchor case - explicit label
recist_cr_computed,CR,computed_no_label,False,"Baseline sum of target lesion diameters was 40mm. Follow-up imaging shows no measurable target lesions and no new lesions.",no progressive disease required for continuation,eligible,none,requires inferring CR from disappearance, no label given
recist_pr_direct,PR,direct_label,False,"The sum of target lesion diameters decreased from 50mm to 30mm, a 40% reduction, and the response is classified as PR.",no progressive disease required for continuation,eligible,none,anchor case
recist_pr_boundary_computed,PR,computed_no_label,True,"Baseline sum of target lesion diameters was 100mm. Follow-up sum is 70mm, with no new lesions.",no progressive disease required for continuation,eligible,none,decisive boundary - exactly -30% (PR threshold is >=30% decrease); tests whether model computes the percentage rather than pattern-matching "shrank = good"
recist_sd_direct,SD,direct_label,False,"Target lesions decreased by 15% from baseline, insufficient for PR, and the response is classified as SD.",no progressive disease required for continuation,eligible,none,anchor case
recist_sd_boundary_computed,SD,computed_no_label,True,"Baseline sum of target lesion diameters was 60mm. Follow-up sum is 42mm, with no new lesions.",no progressive disease required for continuation,eligible,none,decisive boundary - exactly -30% again but framed near SD/PR line from the other side; paired with recist_pr_boundary_computed to test consistency at the same threshold
recist_pd_direct,PD,direct_label,True,"Target lesions increased by 25% from nadir, and the response is classified as PD.",no progressive disease required for continuation,excluded,none,anchor case at the PD threshold
recist_pd_boundary_computed,PD,computed_no_label,True,"The smallest sum of target lesion diameters recorded during treatment (nadir) was 40mm. The current sum is 48mm, with no new lesions.",no progressive disease required for continuation,excluded,none,decisive boundary - exactly +20% from nadir (PD threshold is >=20% increase AND >=5mm absolute); tests nadir-based calculation, not baseline-based
recist_pd_boundary_absolute_fail,SD,computed_no_label,True,"The nadir sum of target lesion diameters was 20mm. The current sum is 24.5mm, a 22.5% increase from nadir.",no progressive disease required for continuation,eligible,none,decisive boundary trap - percentage exceeds 20% but absolute increase (4.5mm) is below the required minimum 5mm absolute increase, so RECIST classifies this as SD not PD; tests whether model applies both criteria or only the percentage
recist_new_lesion,PD,inferred_rule,True,"Target lesions are stable in size, unchanged from baseline, but a new hepatic lesion was identified on follow-up imaging that was not present at baseline.",no progressive disease required for continuation,excluded,none,tests whether model knows any new lesion = automatic PD regardless of target lesion size change
recist_nontarget_progression,PD,inferred_rule,True,"Target lesions have decreased by 35% from baseline, but the non-target lesions (a pleural effusion and peritoneal deposits) have shown unequivocal progression.",no progressive disease required for continuation,excluded,none,tests whether model knows unequivocal non-target progression overrides target lesion response, even with target-lesion PR
recist_distractor_ecog,PR,distractor,False,"Target lesions decreased by 35% from baseline, meeting RECIST criteria for PR, though the patient's ECOG performance status has worsened from 1 to 2 over the same period.",no progressive disease required for continuation,eligible,cross_domain_scale_substitution,plants a performance-status decline in a tumor-response vignette; correct RECIST answer depends only on the lesion measurements
recist_distractor_irrecist,PD,distractor,True,"By conventional RECIST 1.1, target lesions increased 25% from nadir with no new lesions. Per iRECIST (used for immunotherapy), this is provisionally classified as iUPD pending confirmation on repeat imaging 4-8 weeks later.",no progressive disease required for continuation (protocol specifies RECIST 1.1, not iRECIST),excluded,criteria_substitution,tests whether the model defaults to iRECIST's confirmation-required logic when the protocol explicitly specifies standard RECIST 1.1
recist_distractor_marker,SD,distractor,True,"CA-19-9 tumor marker level rose by 40% since the last visit, but target lesion imaging shows only an 8% increase in the sum of diameters with no new lesions.",no progressive disease required for continuation,eligible,biomarker_substitution,plants a rising serum biomarker as bait; RECIST is defined by imaging measurements, not tumor markers
recist_distractor_qualitative_only,PD,inferred_rule,True,"The radiology report describes the tumor burden as 'clearly worse' and 'notably larger' compared to the prior scan, without providing specific measurements.",no progressive disease required for continuation,indeterminate,missing_quantitative_data,tests whether the model recognizes it cannot apply RECIST thresholds without numeric measurements, rather than inferring PD from qualitative language alone
