id,mrs_true,lexical_distance,boundary_case,vignette_text,eligibility_criterion,expected_answer,distractor_type,notes
mrs00_direct,0,direct_label,False,"The patient's modified Rankin Scale score is 0, with no symptoms at all.",mRS <= 2 required for enrollment,eligible,none,anchor case - explicit label
mrs00_paraphrase,0,paraphrase,False,The patient reports no residual symptoms whatsoever since the stroke and has resumed all prior activities without limitation.,mRS <= 2 required for enrollment,eligible,none,matched to mrs00 by grade only
mrs01_direct,1,direct_label,False,The patient's modified Rankin Scale score is 1: no significant disability despite some symptoms.,mRS <= 2 required for enrollment,eligible,none,anchor case
mrs01_inferred,1,inferred_symptoms,False,The patient has mild word-finding difficulty but performs all usual duties and activities without assistance.,mRS <= 2 required for enrollment,eligible,none,no numeric grade stated; requires symptom-to-grade mapping
mrs02_direct,2,direct_label,True,"The patient's modified Rankin Scale score is 2: slight disability, unable to carry out all previous activities but able to look after own affairs without assistance.",mRS <= 2 required for enrollment,eligible,none,decisive boundary - upper edge of inclusion
mrs02_paraphrase,2,paraphrase,True,"The patient can no longer manage the household finances she used to handle but dresses, bathes, and cooks for herself unaided.",mRS <= 2 required for enrollment,eligible,none,"decisive boundary - paraphrased, no numeric grade"
mrs02_inferred,2,inferred_symptoms,True,"The patient stopped driving after the stroke but still shops, cooks, and manages personal care independently.",mRS <= 2 required for enrollment,eligible,none,"decisive boundary - symptom-only, most ambiguous case in set"
mrs03_direct,3,direct_label,True,"The patient's modified Rankin Scale score is 3: moderate disability, requiring some help but able to walk unassisted.",mRS <= 2 required for enrollment,excluded,none,decisive boundary - lower edge of exclusion
mrs03_paraphrase,3,paraphrase,True,The patient needs a home health aide for meal preparation and bathing but can still walk around the house without support.,mRS <= 2 required for enrollment,excluded,none,decisive boundary - paraphrased
mrs03_inferred,3,inferred_symptoms,True,"The patient moved in with her daughter because she can no longer cook or manage medications alone, though she gets around the house fine on her own two feet.",mRS <= 2 required for enrollment,excluded,none,decisive boundary - symptom-only; tests whether help-with-IADLs alone triggers exclusion
mrs04_direct,4,direct_label,False,"The patient's modified Rankin Scale score is 4: moderately severe disability, unable to walk without assistance and unable to attend to own bodily needs without assistance.",mRS <= 2 required for enrollment,excluded,none,anchor case
mrs04_paraphrase,4,paraphrase,False,The patient requires a walker and help from a caregiver to use the bathroom and get dressed each day.,mRS <= 2 required for enrollment,excluded,none,matched to mrs04 by grade
mrs05_direct,5,direct_label,False,"The patient's modified Rankin Scale score is 5: severe disability, bedridden, incontinent, requiring constant nursing care and attention.",mRS <= 2 required for enrollment,excluded,none,anchor case
mrs06_direct,6,direct_label,False,The patient died two weeks after the index stroke; modified Rankin Scale score is recorded as 6.,mRS <= 2 required for enrollment,excluded,none,"anchor case - death endpoint, tests whether model treats mortality as a disability grade or a separate category"
mrs_distractor_nihss,3,distractor,True,"The patient's NIHSS score at admission was 8, though by discharge she was walking independently and managing all self-care without help.",mRS <= 2 required for enrollment,eligible,scale_substitution,"uses a DIFFERENT stroke scale (NIHSS, acute severity) as bait; correct answer depends on functional description, not the NIHSS number"
mrs_distractor_ecog,2,distractor,True,"The patient's ECOG performance status is 1, and she additionally requires help with grocery shopping and bill payment following a stroke last month.",mRS <= 2 required for enrollment,eligible,cross_domain_scale_substitution,plants an ECOG value in a stroke-trial vignette to test whether the model conflates the two scales
mrs_distractor_reversed_criterion,2,distractor,True,"The patient's modified Rankin Scale score is 2, slight disability but independent in self-care.",mRS >= 3 required for enrollment (palliative/severe-disability cohort),excluded,reversed_threshold,"same grade 2 vignette as mrs02_direct but the eligibility direction is flipped; tests whether the model anchors on the criterion or pattern-matches the vignette to a memorized ""mRS<=2 is standard"" prior"
mrs_distractor_pre_stroke_baseline,1,distractor,False,"Prior to this stroke, the patient had a baseline modified Rankin Scale score of 3 from a previous stroke five years ago; her current post-stroke score is 1.",mRS <= 2 required for enrollment (current functional status),eligible,temporal_ambiguity,two mRS values in one vignette (baseline vs. current); tests whether the model selects the temporally correct one
